title,artist,chords_url
Everybody Wants to Rule the World,Tears for Fears,https://tabs.ultimate-guitar.com/tab/tears-for-fears/everybody-wants-to-rule-the-world-chords-1503308
Everybody's Talkin,Harry Nilson,https://tabs.ultimate-guitar.com/tab/harry-nilsson/everybodys-talkin-chords-609640
Exes and Oh's,Elle King,https://tabs.ultimate-guitar.com/tab/elle-king/exs-and-ohs-chords-1714427
Fast Car,Tracey Chapman,https://tabs.ultimate-guitar.com/tab/tracy-chapman/fast-car-chords-1044807
Fighter,Christina Aguilera,https://tabs.ultimate-guitar.com/tab/christina-aguilera/fighter-chords-3148131
Flowers,Miley Cyrus,https://tabs.ultimate-guitar.com/tab/miley-cyrus/flowers-chords-4600913
Fly Me to the Moon,Frank Sinatra,https://tabs.ultimate-guitar.com/tab/frank-sinatra/fly-me-to-the-moon-chords-335196
Folded,Kehlani,https://tabs.ultimate-guitar.com/tab/kehlani/folded-chords-5839361
For Good,Wicked Cast,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/wicked-for-good-for-good-chords-6042617
For Once in My Life,Stevie Wonder,https://tabs.ultimate-guitar.com/tab/stevie-wonder/for-once-in-my-life-chords-213374
Genie in a Bottle,Christina Aguilera,https://tabs.ultimate-guitar.com/tab/christina-aguilera/genie-in-a-bottle-chords-1193224
Georgia,Ray Charles,https://tabs.ultimate-guitar.com/tab/ray-charles/georgia-on-my-mind-chords-1164380
Get Lucky,Daft Punk,https://tabs.ultimate-guitar.com/tab/daft-punk/get-lucky-chords-1239950
Get You,Daniel Caesar,https://tabs.ultimate-guitar.com/tab/daniel-caesar/get-you-chords-1934197
Girl on Fire,Alicia Keys,https://tabs.ultimate-guitar.com/tab/alicia-keys/girl-on-fire-chords-1196414
Go Chase a Moonbeam,Jerry Vale,https://www.tablyrics.com/go-chase-a-moonbeam-chords-lyrics-jerry-valef
Go Your Own Way,Fleetwood Mac,https://tabs.ultimate-guitar.com/tab/fleetwood-mac/go-your-own-way-chords-13586
God Only Knows,Beach Boys,https://tabs.ultimate-guitar.com/tab/the-beach-boys/god-only-knows-chords-16773
Gravity,John Mayer,https://tabs.ultimate-guitar.com/tab/john-mayer/gravity-chords-641307
Growing Old With You,Restless Road,https://tabs.ultimate-guitar.com/tab/restless-road/growing-old-with-you-chords-4038754
Habits (Stay High),Tove Lo,https://tabs.ultimate-guitar.com/tab/tove-lo/habits-stay-high-chords-1411696
Halo,Beyonce,https://www.mychordbook.com/chords/beyonce/halo
Harvest Moon,Neil Young,https://tabs.ultimate-guitar.com/tab/neil-young/harvest-moon-chords-1087598
Have You Ever Seen the Rain,Creedence Clearwater Revival,https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/have-you-ever-seen-the-rain-chords-56479
Heart of Glass,Blondie,https://tabs.ultimate-guitar.com/tab/blondie/heart-of-glass-chords-1087338
Heartless,Kanye West,https://tabs.ultimate-guitar.com/tab/kanye-west/heartless-chords-741960
Heaven,DJ Sammy,https://tabs.ultimate-guitar.com/tab/dj-sammy/heaven-candlelight-mix-chords-4806074
Hello,Adele,https://tabs.ultimate-guitar.com/tab/adele/hello-chords-1775924
Hello It's Me,Todd Rundgren,https://tabs.ultimate-guitar.com/tab/todd-rundgren/hello-its-me-chords-82314
Hey Jude,The Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/hey-jude-chords-1061739
Hey There Delilah,Plain White Ts,https://tabs.ultimate-guitar.com/tab/plain-white-ts/hey-there-delilah-chords-337676
Hey Ya,Outkast,https://tabs.ultimate-guitar.com/tab/outkast/hey-ya-chords-90698
High Horse,Kacey Musgraves,https://tabs.ultimate-guitar.com/tab/kacey-musgraves/high-horse-chords-2348743
Highway to Hell,AC/DC,https://tabs.ultimate-guitar.com/tab/acdc/highway-to-hell-chords-139966
Hit Me Baby One More Time,Britney Spears,https://tabs.ultimate-guitar.com/tab/britney-spears/baby-one-more-time-chords-279810
Hit Me With Your Best Shot,Pat Benatar,https://tabs.ultimate-guitar.com/tab/pat-benatar/hit-me-with-your-best-shot-chords-1517764
Hit the Road Jack,Ray Charles,https://tabs.ultimate-guitar.com/tab/ray-charles/hit-the-road-jack-chords-168021
Home,Michael Buble,https://tabs.ultimate-guitar.com/tab/188005
Homewrecker,sombr,https://tabs.ultimate-guitar.com/tab/sombr/homewrecker-chords-6156461
Honey,Robyn,https://tabs.ultimate-guitar.com/tab/robyn/honey-chords-2480171
Hotline Bling,Drake,https://tabs.ultimate-guitar.com/tab/drake/hotline-bling-chords-1766172
Hound Dog,Elvis,https://tabs.ultimate-guitar.com/tab/elvis-presley/hound-dog-chords-41677
How Deep Is Your Love,Bee Gees,https://tabs.ultimate-guitar.com/tab/bee-gees/how-deep-is-your-love-chords-1191900
I Can't Make You Love Me,Bonnie Raitt,https://tabs.ultimate-guitar.com/tab/bonnie-raitt/i-cant-make-you-love-me-chords-611294
I Don't Wanna Miss a Thing,Aerosmith,https://tabs.ultimate-guitar.com/tab/aerosmith/i-dont-want-to-miss-a-thing-chords-59465
I Feel the Earth Move,Carole King,https://tabs.ultimate-guitar.com/tab/carole-king/i-feel-the-earth-move-chords-474538
I Gotta Feeling,Black Eyed Peas,https://tabs.ultimate-guitar.com/tab/the-black-eyed-peas/i-gotta-feeling-chords-832775
I Kissed a Girl,Katy Perry,https://tabs.ultimate-guitar.com/tab/travis/i-kissed-a-girl-chords-769315
I Wanna Dance With Somebody,Whitney Houson,https://tabs.ultimate-guitar.com/tab/whitney-houston/i-wanna-dance-with-somebody-who-loves-me-chords-585203
I Will Survive,Gloria Gaynor,https://tabs.ultimate-guitar.com/tab/gloria-gaynor/i-will-survive-chords-991389
I'll Be,Edwin McCain,https://tabs.ultimate-guitar.com/tab/edwin-mccain/ill-be-chords-332557
I'm Like a Bird,Nelly Furtado,https://tabs.ultimate-guitar.com/tab/nelly-furtado/im-like-a-bird-chords-13518
If I Ain't Got You,Alicia Keys,https://tabs.ultimate-guitar.com/tab/alicia-keys/if-i-aint-got-you-chords-111683
If I Loved You,Rogers & Hammerstein,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/carousel-if-i-loved-you-chords-1500534
Imagine,Ariana Grande,https://tabs.ultimate-guitar.com/tab/ariana-grande/imagine-chords-2544252
Imagine,John Lennon,https://tabs.ultimate-guitar.com/tab/john-lennon/imagine-chords-9306
In My Feelings,Drake,C# Cm
In My Head,Ariana Grande,https://tabs.ultimate-guitar.com/tab/ariana-grande/in-my-head-chords-2604222
In My Life,Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/in-my-life-chords-531847
Insecure,Jazmine Sullivan,"Cm, Dm, Gm"
Intentions,Justin Bieber,https://tabs.ultimate-guitar.com/tab/justin-bieber/intentions-chords-2983373
Into the Mystic,Van Morrison,https://tabs.ultimate-guitar.com/tab/van-morrison/into-the-mystic-chords-106508
Iris,Goo Goo Dolls,https://tabs.ultimate-guitar.com/tab/goo-goo-dolls/iris-chords-54512
Irreplaceable,Beyonce,https://tabs.ultimate-guitar.com/tab/971852
Is This Love,Bob Marley,https://tabs.ultimate-guitar.com/tab/bob-marley/is-this-love-chords-75877
Isn't She Lovely,Stevie Wonder,https://tabs.ultimate-guitar.com/tab/stevie-wonder/isnt-she-lovely-chords-876425
Jailhouse Rock,Elvis Presley,https://tabs.ultimate-guitar.com/tab/elvis-presley/jailhouse-rock-chords-79693
Jolene,Dolly Parton,https://tabs.ultimate-guitar.com/tab/dolly-parton/jolene-chords-183019
Just Like a Pill,Pink,https://tabs.ultimate-guitar.com/tab/pnk/just-like-a-pill-chords-44348
Just What I Needed,The Cars,https://tabs.ultimate-guitar.com/tab/the-cars/just-what-i-needed-chords-1146418
Killing me Softly,Lauryn Hill,https://tabs.ultimate-guitar.com/tab/fugees/killing-me-softly-chords-50470
Kiss,Prince,https://tabs.ultimate-guitar.com/tab/prince/kiss-chords-322671
Kiss Me More,"Doja Cat, SZA",https://www.mychordbook.com/chords/doja-cat/kiss-me-more-ft-sza
Landslide,Fleetwood Mac,https://tabs.ultimate-guitar.com/tab/fleetwood-mac/landslide-chords-989772
Last Dance,Donna Summer,https://tabs.ultimate-guitar.com/tab/donna-summer/last-dance-chords-1746216
Late Night Talkin,Harry Styles,https://tabs.ultimate-guitar.com/tab/harry-styles/late-night-talking-chords-4154926
Let it Be,Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/let-it-be-chords-60690
Let's Get it On,Marvin Gaye,https://tabs.ultimate-guitar.com/tab/marvin-gaye/lets-get-it-on-chords-687918
Let's Stay Together,Al Green,https://tabs.ultimate-guitar.com/tab/al-green/lets-stay-together-chords-69821
Levitating,Dua Lipa,https://chordseasy.com/song/33266/levitating
Life on Mars,David Bowie,https://tabs.ultimate-guitar.com/tab/david-bowie/life-on-mars-chords-1237810
Light My Fire,The Doors,https://tabs.ultimate-guitar.com/tab/the-doors/light-my-fire-chords-1092216
Like a Virgin,Madonna,https://tabs.ultimate-guitar.com/tab/madonna/like-a-virgin-chords-822089
Limit to Your Love,James Blake,https://tabs.ultimate-guitar.com/tab/james-blake/limit-to-your-love-chords-1019021
Linger,The Cranberries,https://tabs.ultimate-guitar.com/tab/the-cranberries/linger-chords-612578
Little Red Corvette,Prince,https://tabs.ultimate-guitar.com/tab/prince/little-red-corvette-chords-1838719
Love Me Land,Zara Larsson,https://tabs.ultimate-guitar.com/tab/zara-larsson/love-me-land-chords-3269741
Love Shack,B-52s,https://tabs.ultimate-guitar.com/tab/the-b-52s/love-shack-chords-1905117
Love Yourself,Justin Bieber,https://chordseasy.com/song/26232/love-yourself/
Love is a Losing Game,Amy Winehouse,https://tabs.ultimate-guitar.com/tab/amy-winehouse/love-is-a-losing-game-chords-471389
Love on Top,Beyonce,https://www.gotabs.com/beyonce/love-on-top-chords
Lovely Day,Bill Withers,https://tabs.ultimate-guitar.com/tab/bill-withers/lovely-day-chords-1135417
Maneater,Hall & Oates,https://tabs.ultimate-guitar.com/tab/hall-oates/maneater-chords-353751
Many Times,Dijon,https://tabs.ultimate-guitar.com/tab/dijon/many-times-chords-3925361
Massachusetts,Bee Gees,https://tabs.ultimate-guitar.com/tab/bee-gees/massachusetts-chords-16884
Me Myself and I,Beyonce,https://genius.com/Beyonce-me-myself-and-i-lyrics
